,Date,month,Open,High,Low,Close,Volume,Market Cap,Mean,normalize,Diff,Class
143,17-Jun-17,Jun,2514.01,2685.19,2484.96,2655.88,"1,534,510,000","41,217,200,000",2584.945,1.582569354,-0.015167211,TRUE
144,16-Jun-17,Jun,2469.57,2539.92,2385.15,2518.56,"1,195,190,000","40,484,100,000",2494.065,1.500886622,-0.081682732,TRUE
145,15-Jun-17,Jun,2499.58,2534.71,2212.96,2464.58,"2,026,260,000","40,971,300,000",2482.08,1.490114532,-0.01077209,FALSE
146,14-Jun-17,Jun,2716.88,2786.83,2412.94,2506.37,"1,696,560,000","44,528,300,000",2611.625,1.606549276,0.116434744,FALSE
147,13-Jun-17,Jun,2680.91,2789.04,2650.38,2717.02,"1,781,200,000","43,934,100,000",2698.965,1.685050264,0.078500988,TRUE
148,12-Jun-17,Jun,2953.22,2997.26,2518.56,2659.63,"2,569,530,000","48,391,200,000",2806.425,1.781635061,0.096584797,FALSE
149,11-Jun-17,Jun,2942.41,2996.6,2840.53,2958.11,"1,752,400,000","48,208,700,000",2950.26,1.910913624,0.129278562,TRUE
150,10-Jun-17,Jun,2828.14,2950.99,2746.55,2947.71,"2,018,890,000","46,331,400,000",2887.925,1.854887071,-0.056026553,TRUE
151,9-Jun-17,Jun,2807.44,2901.71,2795.62,2823.81,"1,348,950,000","45,987,100,000",2815.625,1.789904,-0.064983071,TRUE
152,8-Jun-17,Jun,2720.49,2815.3,2670.95,2805.62,"1,281,170,000","44,557,100,000",2763.055,1.742654206,-0.047249793,TRUE
153,7-Jun-17,Jun,2869.38,2869.38,2700.56,2732.16,"1,517,710,000","46,989,800,000",2800.77,1.77655236,0.033898154,FALSE
154,6-Jun-17,Jun,2690.84,2999.91,2690.84,2863.2,"2,089,610,000","44,061,000,000",2777.02,1.755205916,-0.021346445,TRUE
155,5-Jun-17,Jun,2512.4,2686.81,2510.22,2686.81,"1,369,310,000","41,133,900,000",2599.605,1.595745728,-0.159460188,TRUE
156,4-Jun-17,Jun,2547.79,2585.89,2452.54,2511.81,"1,355,120,000","41,708,200,000",2529.8,1.533005157,-0.062740571,FALSE
157,3-Jun-17,Jun,2493.72,2581.91,2423.57,2515.35,"1,514,950,000","40,817,100,000",2504.535,1.510297034,-0.022708123,TRUE
158,2-Jun-17,Jun,2404.03,2488.55,2373.32,2488.55,"1,317,030,000","39,344,600,000",2446.29,1.457946564,-0.05235047,TRUE
159,1-Jun-17,Jun,2288.33,2448.39,2288.33,2407.88,"1,653,180,000","37,446,200,000",2348.105,1.369698115,-0.088248449,TRUE
160,31-May-17,May,2187.19,2311.08,2145.57,2286.41,"1,544,830,000","35,786,700,000",2236.8,1.269657441,-0.100040674,TRUE
161,30-May-17,May,2255.36,2301.96,2124.57,2175.47,"1,443,970,000","36,897,000,000",2215.415,1.250436653,-0.019220788,FALSE
162,29-May-17,May,2159.43,2307.05,2107.17,2255.61,"994,625,000","35,323,500,000",2207.52,1.243340645,-0.007096008,TRUE
163,28-May-17,May,2054.08,2267.34,2054.08,2155.8,"1,147,140,000","33,595,900,000",2104.94,1.15114198,-0.092198665,TRUE
164,27-May-17,May,2196.27,2260.2,1855.83,2038.87,"1,700,480,000","35,917,100,000",2117.57,1.162493795,0.011351815,FALSE
165,26-May-17,May,2321.255,2511.955,2070.565,2171.925,"1,763,480,000","37,950,600,000",2246.59,1.27845667,0.115962875,FALSE
166,25-May-17,May,2446.24,2763.71,2285.3,2304.98,"2,406,700,000","39,995,400,000",2375.61,1.394419545,0.115962875,FALSE
167,24-May-17,May,2321.37,2523.72,2321.37,2443.64,"1,725,380,000","37,949,200,000",2382.505,1.400616755,0.00619721,TRUE
168,23-May-17,May,2182.28,2413.81,2169.62,2308.52,"1,378,750,000","35,822,600,000",2245.4,1.277387101,-0.123229654,TRUE
169,22-May-17,May,2043.19,2303.9,2017.87,2173.4,"1,942,220,000","33,393,600,000",2108.295,1.154157447,-0.123229654,TRUE
170,21-May-17,May,2067.03,2119.08,2037.5,2041.2,"1,147,860,000","33,779,400,000",2054.115,1.105460589,-0.048696858,FALSE
171,20-May-17,May,1984.24,2084.73,1974.92,2084.73,"961,336,000","32,422,400,000",2034.485,1.087817191,-0.017643398,TRUE
172,19-May-17,May,1897.37,2004.52,1890.25,1987.71,"1,157,290,000","30,999,000,000",1942.54,1.005177239,-0.082639951,TRUE
173,18-May-17,May,1818.7,1904.48,1807.12,1888.65,"894,321,000","29,710,500,000",1853.675,0.925305585,-0.079871655,TRUE
174,17-May-17,May,1726.73,1864.05,1661.91,1839.09,"1,064,730,000","28,204,800,000",1782.91,0.861702168,-0.063603417,TRUE
175,16-May-17,May,1741.7,1785.94,1686.54,1734.45,"959,045,000","28,446,300,000",1738.075,0.821404575,-0.040297593,FALSE
176,15-May-17,May,1808.44,1812.8,1708.54,1738.43,"731,529,000","29,532,600,000",1773.435,0.85318606,0.031781485,FALSE
177,14-May-17,May,1800.86,1831.42,1776.62,1808.91,"437,196,000","29,405,100,000",1804.885,0.881453247,0.028267187,TRUE
178,13-May-17,May,1723.12,1812.99,1651.08,1804.91,"579,635,000","28,132,300,000",1764.015,0.844719386,-0.036733861,TRUE
179,12-May-17,May,1845.76,1856.15,1694.01,1724.24,"740,984,000","30,131,100,000",1785,0.863580655,0.018861269,FALSE
180,11-May-17,May,1780.37,1873.93,1755.35,1848.57,"799,490,000","29,060,600,000",1814.47,0.890068222,0.026487567,TRUE
181,10-May-17,May,1756.52,1788.44,1719.1,1787.13,"915,723,000","28,668,100,000",1771.825,0.851738996,-0.038329226,TRUE
182,9-May-17,May,1723.89,1833.49,1716.3,1755.36,"1,167,920,000","28,132,200,000",1739.625,0.822797711,-0.028941285,TRUE
183,8-May-17,May,1596.92,1723.35,1596.92,1723.35,"1,340,320,000","26,056,500,000",1660.135,0.751352285,-0.071445426,TRUE
184,7-May-17,May,1579.47,1596.72,1559.76,1596.71,"1,080,030,000","25,768,500,000",1588.09,0.686598407,-0.064753878,TRUE
185,6-May-17,May,1556.81,1578.8,1542.5,1578.8,"582,530,000","25,395,600,000",1567.805,0.668366296,-0.018232111,TRUE
186,5-May-17,May,1540.87,1618.03,1530.31,1555.45,"946,036,000","25,133,100,000",1548.16,0.650709416,-0.01765688,TRUE
187,4-May-17,May,1490.72,1608.91,1490.72,1537.67,"933,549,000","24,311,900,000",1514.195,0.620181753,-0.030527663,TRUE
188,3-May-17,May,1453.78,1492.77,1447.49,1490.09,"583,796,000","23,707,100,000",1471.935,0.582198564,-0.037983189,TRUE
189,2-May-17,May,1421.03,1473.9,1415.69,1452.82,"477,338,000","23,170,200,000",1436.925,0.550731657,-0.031466906,TRUE
190,1-May-17,May,1348.3,1434.32,1348.3,1421.6,"713,624,000","21,981,800,000",1384.95,0.504016649,-0.046715009,TRUE
191,30-Apr-17,Apr,1321.87,1347.91,1314.92,1347.89,"413,115,000","21,548,400,000",1334.88,0.45901385,-0.045002799,TRUE
192,29-Apr-17,Apr,1317.84,1327.2,1315.21,1321.79,"422,706,000","21,479,800,000",1319.815,0.445473463,-0.013540387,TRUE
193,28-Apr-17,Apr,1317.74,1331.28,1292.37,1316.48,"527,489,000","21,476,000,000",1317.11,0.443042215,-0.002431248,FALSE
194,27-Apr-17,Apr,1281.88,1319.7,1281.3,1317.73,"449,197,000","20,889,200,000",1299.805,0.427488521,-0.015553694,TRUE
195,26-Apr-17,Apr,1265.99,1294.83,1265.93,1281.08,"329,631,000","20,627,900,000",1273.535,0.403877107,-0.023611415,TRUE
196,25-Apr-17,Apr,1250.45,1267.58,1249.97,1265.49,"242,556,000","20,372,300,000",1257.97,0.389887321,-0.013989786,TRUE
